type,url,date
 Journée internationale de Nowruz,https://www.journee-mondiale.com/558/journee-internationale-de-nowruz.htm,21 mars
 Journée Mondiale de la Poésie,https://www.journee-mondiale.com/105/journee-mondiale-de-la-poesie.htm,21 mars
 Journée mondiale de la marionnette,https://www.journee-mondiale.com/326/journee-mondiale-de-la-marionnette.htm,21 mars
 Journée Internationale pour l'élimination de la discrimination raciale,https://www.journee-mondiale.com/103/journee-internationale-pour-l-elimination-de-la-discrimination-raciale.htm,21 mars
 Journée Internationale des forêts,https://www.journee-mondiale.com/104/journee-internationale-des-forets.htm,21 mars
 Journée Mondiale de la Trisomie 21,https://www.journee-mondiale.com/106/journee-mondiale-de-la-trisomie-21.htm,21 mars
 Journée Mondiale de l'eau,https://www.journee-mondiale.com/116/journee-mondiale-de-l-eau.htm,22 mars
 Journée mondiale des doulas,https://www.journee-mondiale.com/681/journee-mondiale-des-doulas.htm,22 mars
 Journée Mondiale de la Météorologie,https://www.journee-mondiale.com/121/journee-mondiale-de-la-meteorologie.htm,23 mars
 Journée Mondiale de lutte contre la tuberculose,https://www.journee-mondiale.com/124/journee-mondiale-de-lutte-contre-la-tuberculose.htm,24 mars
 Journée internationale pour le droit à la vérité,https://www.journee-mondiale.com/514/journee-internationale-pour-le-droit-a-la-verite.htm,24 mars
 Journée Européenne de la glace artisanale,https://www.journee-mondiale.com/320/journee-europeenne-de-la-glace-artisanale.htm,24 mars
 Journée mondiale pour la fin de la pêche,https://www.journee-mondiale.com/519/journee-mondiale-pour-la-fin-de-la-peche.htm,24 mars
 Journée mondiale contre la publicité,https://www.journee-mondiale.com/510/journee-mondiale-contre-la-publicite.htm,25 mars
 Journée Européenne de l'enfant à naître,https://www.journee-mondiale.com/130/journee-europeenne-de-l-enfant-a-naitre.htm,25 mars
 Journée de la procrastination,https://www.journee-mondiale.com/223/journee-de-la-procrastination.htm,25 mars
 Grève mondiale pour le climat,https://www.journee-mondiale.com/550/greve-mondiale-pour-le-climat.htm,25 mars
 Tolkien reading day,https://www.journee-mondiale.com/479/tolkien-reading-day.htm,25 mars
 Journée mondiale contre l'endométriose,https://www.journee-mondiale.com/370/journee-mondiale-contre-l-endometriose.htm,26 mars
 Journée nationale du fromage,https://www.journee-mondiale.com/147/journee-nationale-du-fromage.htm,27 mars
 Journée Mondiale du théâtre,https://www.journee-mondiale.com/144/journee-mondiale-du-theatre.htm,27 mars
 Journée mondiale du Big Bang,https://www.journee-mondiale.com/692/journee-mondiale-du-big-bang.htm,28 mars
 Journée Mondiale des troubles bipolaires,https://www.journee-mondiale.com/430/journee-mondiale-des-troubles-bipolaires.htm,30 mars
 Journée Internationale de la Visibilité Trans,https://www.journee-mondiale.com/376/journee-internationale-de-la-visibilite-trans.htm,31 mars
 Journée mondiale de la sauvegarde des données informatiques,https://www.journee-mondiale.com/482/journee-mondiale-de-la-sauvegarde-des-donnees-informatiques.htm,31 mars
 Journée internationale de la blague,https://www.journee-mondiale.com/423/journee-internationale-de-la-blague.htm,1 avril
 Journée mondiale de sensibilisation à l'autisme,https://www.journee-mondiale.com/88/journee-mondiale-de-sensibilisation-a-l-autisme.htm,2 avril
 Journée internaionale du livre pour enfants,https://www.journee-mondiale.com/492/journee-internaionale-du-livre-pour-enfants.htm,2 avril
 Journée mondiale de batailles d'oreillers,https://www.journee-mondiale.com/469/journee-mondiale-de-batailles-d-oreillers.htm,2 avril
 Journée internationale de la sensibilisation au problème des mines et de l'assistance à la lutte antimines,https://www.journee-mondiale.com/366/journee-internationale-de-la-sensibilisation-au-probleme-des-mines-et-de-l-assistance-a-la-lutte-antimines.htm,4 avril
 Journée Nationale du Syndrome du bébé secoué,https://www.journee-mondiale.com/663/journee-nationale-du-syndrome-du-bebe-secoue.htm,5 avril
